timestamp,src_ip,dst_ip,protocol,packet_size,ttl,flags,attack_label
2026-05-28 10:00:00,192.168.1.10,8.8.8.8,TCP,1420,64,0,Normal
2026-05-28 10:00:01,192.168.1.10,8.8.8.8,TCP,1440,64,0,Normal
2026-05-28 10:00:02,10.0.0.5,192.168.1.1,UDP,78,128,0,Normal
2026-05-28 10:00:03,10.0.0.5,192.168.1.1,UDP,76,128,0,Normal
2026-05-28 10:00:04,5.5.5.5,192.168.1.100,ICMP,84,255,0,DDoS
2026-05-28 10:00:05,5.5.5.5,192.168.1.100,ICMP,84,255,0,DDoS
2026-05-28 10:00:06,5.5.5.5,192.168.1.100,ICMP,84,255,0,DDoS
2026-05-28 10:00:07,5.5.5.5,192.168.1.100,ICMP,84,255,0,DDoS
2026-05-28 10:00:08,5.5.5.5,192.168.1.100,ICMP,84,255,0,DDoS
2026-05-28 10:00:09,192.168.1.50,203.0.113.10,TCP,66,64,2,PortScan
2026-05-28 10:00:10,192.168.1.50,203.0.113.11,TCP,66,64,2,PortScan
2026-05-28 10:00:11,192.168.1.50,203.0.113.12,TCP,66,64,2,PortScan
2026-05-28 10:00:12,192.168.1.50,203.0.113.13,TCP,66,64,2,PortScan
2026-05-28 10:00:13,192.168.1.50,203.0.113.14,TCP,66,64,2,PortScan
2026-05-28 10:00:14,45.45.45.45,192.168.1.10,SSH,150,32,0,BruteForce
2026-05-28 10:00:15,45.45.45.45,192.168.1.10,SSH,152,32,1,BruteForce
2026-05-28 10:00:16,45.45.45.45,192.168.1.10,SSH,148,32,0,BruteForce
2026-05-28 10:00:17,192.168.1.200,8.8.4.4,DNS,72,128,0,Normal
2026-05-28 10:00:18,192.168.1.200,8.8.4.4,DNS,70,128,0,Normal
2026-05-28 10:00:19,99.99.99.99,192.168.1.10,HTTP,512,64,0,Malware
